State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,county-a,county-b,flow-from-b-to-a,flow-from-a-to-b,net-flow-from-b-to-a,gross-migration
6,1,6,5,Alameda County,Amador County,24,77,-53,101
6,1,6,7,Alameda County,Butte County,298,863,-565,"1,161"
6,1,6,9,Alameda County,Calaveras County,16,190,-174,206
6,1,6,11,Alameda County,Colusa County,0,8,-8,8
6,1,6,13,Alameda County,Contra Costa County,"9,550","16,443","-6,893","25,993"
6,1,6,15,Alameda County,Del Norte County,5,12,-7,17
6,1,6,17,Alameda County,El Dorado County,152,323,-171,475
6,1,6,19,Alameda County,Fresno County,788,"1,096",-308,"1,884"
6,1,6,21,Alameda County,Glenn County,0,3,-3,3
6,1,6,23,Alameda County,Humboldt County,101,241,-140,342
6,1,6,25,Alameda County,Imperial County,69,11,58,80
6,1,6,27,Alameda County,Inyo County,15,10,5,25
6,1,6,29,Alameda County,Kern County,182,172,10,354
6,1,6,31,Alameda County,Kings County,37,174,-137,211
6,1,6,33,Alameda County,Lake County,182,181,1,363
6,1,6,35,Alameda County,Lassen County,17,177,-160,194
6,1,6,37,Alameda County,Los Angeles County,"5,488","4,155","1,333","9,643"
6,1,6,39,Alameda County,Madera County,29,265,-236,294
6,1,6,41,Alameda County,Marin County,"1,060",890,170,"1,950"
6,1,6,43,Alameda County,Mariposa County,0,29,-29,29
6,1,6,45,Alameda County,Mendocino County,191,145,46,336
6,1,6,47,Alameda County,Merced County,175,848,-673,"1,023"
6,1,6,51,Alameda County,Mono County,0,60,-60,60
6,1,6,53,Alameda County,Monterey County,516,527,-11,"1,043"
6,1,6,55,Alameda County,Napa County,265,134,131,399
6,1,6,57,Alameda County,Nevada County,94,230,-136,324
6,1,6,59,Alameda County,Orange County,"1,722","1,380",342,"3,102"
6,1,6,61,Alameda County,Placer County,305,645,-340,950
6,1,6,63,Alameda County,Plumas County,8,0,8,8
6,1,6,65,Alameda County,Riverside County,582,755,-173,"1,337"
6,1,6,67,Alameda County,Sacramento County,"2,293","3,716","-1,423","6,009"
6,1,6,69,Alameda County,San Benito County,107,63,44,170
6,1,6,71,Alameda County,San Bernardino County,432,243,189,675
6,1,6,73,Alameda County,San Diego County,"2,040","1,305",735,"3,345"
6,1,6,75,Alameda County,San Francisco County,"10,658","5,204","5,454","15,862"
6,1,6,77,Alameda County,San Joaquin County,"2,184","6,597","-4,413","8,781"
6,1,6,79,Alameda County,San Luis Obispo County,386,431,-45,817
6,1,6,81,Alameda County,San Mateo County,"5,026","3,231","1,795","8,257"
6,1,6,83,Alameda County,Santa Barbara County,498,678,-180,"1,176"
6,1,6,85,Alameda County,Santa Clara County,"10,175","7,443","2,732","17,618"
6,1,6,87,Alameda County,Santa Cruz County,636,"1,217",-581,"1,853"
6,1,6,89,Alameda County,Shasta County,16,183,-167,199
6,1,6,93,Alameda County,Siskiyou County,0,60,-60,60
6,1,6,95,Alameda County,Solano County,"1,073","2,583","-1,510","3,656"
6,1,6,97,Alameda County,Sonoma County,769,977,-208,"1,746"
6,1,6,99,Alameda County,Stanislaus County,"1,007","1,881",-874,"2,888"
6,1,6,101,Alameda County,Sutter County,28,68,-40,96
6,1,6,103,Alameda County,Tehama County,0,39,-39,39
6,1,6,105,Alameda County,Trinity County,0,6,-6,6
6,1,6,107,Alameda County,Tulare County,262,91,171,353
6,1,6,109,Alameda County,Tuolumne County,38,138,-100,176
6,1,6,111,Alameda County,Ventura County,316,307,9,623
6,1,6,113,Alameda County,Yolo County,931,"1,039",-108,"1,970"
6,1,6,115,Alameda County,Yuba County,10,14,-4,24
6,3,6,5,Alpine County,Amador County,0,4,-4,4
6,3,6,17,Alpine County,El Dorado County,9,0,9,9
6,3,6,53,Alpine County,Monterey County,3,0,3,3
6,3,6,61,Alpine County,Placer County,0,65,-65,65
6,3,6,71,Alpine County,San Bernardino County,3,0,3,3
6,3,6,73,Alpine County,San Diego County,0,20,-20,20
6,3,6,75,Alpine County,San Francisco County,2,0,2,2
6,3,6,81,Alpine County,San Mateo County,5,0,5,5
6,3,6,85,Alpine County,Santa Clara County,0,25,-25,25
6,5,6,1,Amador County,Alameda County,77,24,53,101
6,5,6,3,Amador County,Alpine County,4,0,4,4
6,5,6,7,Amador County,Butte County,39,0,39,39
6,5,6,9,Amador County,Calaveras County,214,187,27,401
6,5,6,11,Amador County,Colusa County,44,0,44,44
6,5,6,13,Amador County,Contra Costa County,151,30,121,181
6,5,6,15,Amador County,Del Norte County,0,19,-19,19
6,5,6,17,Amador County,El Dorado County,210,61,149,271
6,5,6,19,Amador County,Fresno County,121,11,110,132
6,5,6,23,Amador County,Humboldt County,0,109,-109,109
6,5,6,25,Amador County,Imperial County,11,0,11,11
6,5,6,29,Amador County,Kern County,138,67,71,205
6,5,6,31,Amador County,Kings County,81,54,27,135
6,5,6,35,Amador County,Lassen County,35,22,13,57
6,5,6,37,Amador County,Los Angeles County,117,72,45,189
6,5,6,39,Amador County,Madera County,24,47,-23,71
6,5,6,41,Amador County,Marin County,16,0,16,16
6,5,6,45,Amador County,Mendocino County,0,50,-50,50
6,5,6,47,Amador County,Merced County,12,0,12,12
6,5,6,53,Amador County,Monterey County,78,21,57,99
6,5,6,57,Amador County,Nevada County,99,0,99,99
6,5,6,59,Amador County,Orange County,10,6,4,16
6,5,6,61,Amador County,Placer County,26,75,-49,101
6,5,6,65,Amador County,Riverside County,65,92,-27,157
6,5,6,67,Amador County,Sacramento County,431,276,155,707
6,5,6,69,Amador County,San Benito County,0,12,-12,12
6,5,6,71,Amador County,San Bernardino County,14,103,-89,117
6,5,6,73,Amador County,San Diego County,69,41,28,110
6,5,6,75,Amador County,San Francisco County,2,25,-23,27
6,5,6,77,Amador County,San Joaquin County,296,167,129,463
6,5,6,79,Amador County,San Luis Obispo County,39,123,-84,162
6,5,6,81,Amador County,San Mateo County,37,43,-6,80
6,5,6,83,Amador County,Santa Barbara County,5,0,5,5
6,5,6,85,Amador County,Santa Clara County,79,3,76,82
6,5,6,87,Amador County,Santa Cruz County,0,22,-22,22
6,5,6,89,Amador County,Shasta County,11,0,11,11
6,5,6,93,Amador County,Siskiyou County,8,23,-15,31
6,5,6,95,Amador County,Solano County,14,9,5,23
6,5,6,97,Amador County,Sonoma County,37,55,-18,92
6,5,6,99,Amador County,Stanislaus County,17,18,-1,35
6,5,6,107,Amador County,Tulare County,19,0,19,19
6,5,6,109,Amador County,Tuolumne County,20,22,-2,42
6,5,6,111,Amador County,Ventura County,43,0,43,43
6,5,6,113,Amador County,Yolo County,17,10,7,27
6,5,6,115,Amador County,Yuba County,5,0,5,5
6,7,6,1,Butte County,Alameda County,863,298,565,"1,161"
6,7,6,5,Butte County,Amador County,0,39,-39,39
6,7,6,9,Butte County,Calaveras County,0,15,-15,15
6,7,6,11,Butte County,Colusa County,0,8,-8,8
6,7,6,13,Butte County,Contra Costa County,637,"1,334",-697,"1,971"
6,7,6,15,Butte County,Del Norte County,30,100,-70,130
6,7,6,17,Butte County,El Dorado County,119,126,-7,245
6,7,6,19,Butte County,Fresno County,145,42,103,187
6,7,6,21,Butte County,Glenn County,527,255,272,782
6,7,6,23,Butte County,Humboldt County,43,233,-190,276
6,7,6,29,Butte County,Kern County,89,72,17,161
6,7,6,31,Butte County,Kings County,12,11,1,23
6,7,6,33,Butte County,Lake County,19,0,19,19
6,7,6,35,Butte County,Lassen County,103,12,91,115
6,7,6,37,Butte County,Los Angeles County,637,298,339,935
6,7,6,39,Butte County,Madera County,9,0,9,9
6,7,6,41,Butte County,Marin County,68,7,61,75
6,7,6,45,Butte County,Mendocino County,62,96,-34,158
6,7,6,47,Butte County,Merced County,143,38,105,181
6,7,6,49,Butte County,Modoc County,30,0,30,30
6,7,6,53,Butte County,Monterey County,45,43,2,88
6,7,6,55,Butte County,Napa County,24,87,-63,111
6,7,6,57,Butte County,Nevada County,55,101,-46,156
6,7,6,59,Butte County,Orange County,355,198,157,553
6,7,6,61,Butte County,Placer County,381,335,46,716
6,7,6,63,Butte County,Plumas County,216,33,183,249
6,7,6,65,Butte County,Riverside County,304,149,155,453
6,7,6,67,Butte County,Sacramento County,928,708,220,"1,636"
6,7,6,69,Butte County,San Benito County,89,13,76,102
6,7,6,71,Butte County,San Bernardino County,173,265,-92,438
6,7,6,73,Butte County,San Diego County,707,265,442,972
6,7,6,75,Butte County,San Francisco County,55,92,-37,147
6,7,6,77,Butte County,San Joaquin County,181,202,-21,383
6,7,6,79,Butte County,San Luis Obispo County,71,175,-104,246
6,7,6,81,Butte County,San Mateo County,334,115,219,449
6,7,6,83,Butte County,Santa Barbara County,170,35,135,205
6,7,6,85,Butte County,Santa Clara County,456,267,189,723
6,7,6,87,Butte County,Santa Cruz County,135,225,-90,360
6,7,6,89,Butte County,Shasta County,752,362,390,"1,114"
6,7,6,93,Butte County,Siskiyou County,86,48,38,134
6,7,6,95,Butte County,Solano County,225,95,130,320
6,7,6,97,Butte County,Sonoma County,289,277,12,566
6,7,6,99,Butte County,Stanislaus County,88,89,-1,177
6,7,6,101,Butte County,Sutter County,560,617,-57,"1,177"
6,7,6,103,Butte County,Tehama County,428,419,9,847
6,7,6,105,Butte County,Trinity County,23,0,23,23
6,7,6,107,Butte County,Tulare County,40,40,0,80
6,7,6,109,Butte County,Tuolumne County,77,18,59,95
6,7,6,111,Butte County,Ventura County,323,55,268,378
6,7,6,113,Butte County,Yolo County,133,186,-53,319
6,7,6,115,Butte County,Yuba County,372,216,156,588
6,9,6,1,Calaveras County,Alameda County,190,16,174,206
6,9,6,5,Calaveras County,Amador County,187,214,-27,401
6,9,6,7,Calaveras County,Butte County,15,0,15,15
6,9,6,13,Calaveras County,Contra Costa County,28,44,-16,72
6,9,6,15,Calaveras County,Del Norte County,0,24,-24,24
6,9,6,17,Calaveras County,El Dorado County,0,20,-20,20
6,9,6,19,Calaveras County,Fresno County,7,71,-64,78
6,9,6,23,Calaveras County,Humboldt County,13,6,7,19
6,9,6,29,Calaveras County,Kern County,5,0,5,5
6,9,6,37,Calaveras County,Los Angeles County,46,57,-11,103
6,9,6,41,Calaveras County,Marin County,18,9,9,27
6,9,6,43,Calaveras County,Mariposa County,66,11,55,77
6,9,6,45,Calaveras County,Mendocino County,0,34,-34,34
6,9,6,47,Calaveras County,Merced County,9,13,-4,22
6,9,6,53,Calaveras County,Monterey County,0,9,-9,9
6,9,6,55,Calaveras County,Napa County,21,0,21,21
6,9,6,59,Calaveras County,Orange County,17,33,-16,50
6,9,6,61,Calaveras County,Placer County,48,16,32,64
6,9,6,65,Calaveras County,Riverside County,5,9,-4,14
6,9,6,67,Calaveras County,Sacramento County,132,220,-88,352
6,9,6,71,Calaveras County,San Bernardino County,18,17,1,35
6,9,6,73,Calaveras County,San Diego County,5,50,-45,55
6,9,6,75,Calaveras County,San Francisco County,30,0,30,30
6,9,6,77,Calaveras County,San Joaquin County,243,354,-111,597
6,9,6,79,Calaveras County,San Luis Obispo County,9,0,9,9
6,9,6,81,Calaveras County,San Mateo County,0,4,-4,4
6,9,6,83,Calaveras County,Santa Barbara County,51,23,28,74
6,9,6,85,Calaveras County,Santa Clara County,68,83,-15,151
6,9,6,87,Calaveras County,Santa Cruz County,210,3,207,213
6,9,6,89,Calaveras County,Shasta County,4,1,3,5
6,9,6,95,Calaveras County,Solano County,114,4,110,118
6,9,6,97,Calaveras County,Sonoma County,14,75,-61,89
6,9,6,99,Calaveras County,Stanislaus County,118,181,-63,299
6,9,6,107,Calaveras County,Tulare County,0,3,-3,3
6,9,6,109,Calaveras County,Tuolumne County,74,233,-159,307
6,9,6,111,Calaveras County,Ventura County,11,11,0,22
6,9,6,115,Calaveras County,Yuba County,29,0,29,29
6,11,6,1,Colusa County,Alameda County,8,0,8,8
6,11,6,5,Colusa County,Amador County,0,44,-44,44
6,11,6,7,Colusa County,Butte County,8,0,8,8
6,11,6,15,Colusa County,Del Norte County,0,163,-163,163
6,11,6,19,Colusa County,Fresno County,0,58,-58,58
6,11,6,21,Colusa County,Glenn County,26,119,-93,145
6,11,6,23,Colusa County,Humboldt County,0,12,-12,12
6,11,6,31,Colusa County,Kings County,1,0,1,1
6,11,6,39,Colusa County,Madera County,9,0,9,9
6,11,6,45,Colusa County,Mendocino County,0,150,-150,150
6,11,6,53,Colusa County,Monterey County,0,7,-7,7
6,11,6,59,Colusa County,Orange County,0,61,-61,61
6,11,6,61,Colusa County,Placer County,0,80,-80,80
6,11,6,65,Colusa County,Riverside County,0,2,-2,2
6,11,6,67,Colusa County,Sacramento County,93,142,-49,235
6,11,6,75,Colusa County,San Francisco County,0,53,-53,53
6,11,6,77,Colusa County,San Joaquin County,0,30,-30,30
6,11,6,79,Colusa County,San Luis Obispo County,0,24,-24,24
6,11,6,85,Colusa County,Santa Clara County,0,27,-27,27
6,11,6,89,Colusa County,Shasta County,29,0,29,29
6,11,6,95,Colusa County,Solano County,21,5,16,26
6,11,6,99,Colusa County,Stanislaus County,17,0,17,17
6,11,6,101,Colusa County,Sutter County,123,45,78,168
6,11,6,103,Colusa County,Tehama County,0,102,-102,102
6,11,6,113,Colusa County,Yolo County,8,131,-123,139
6,11,6,115,Colusa County,Yuba County,135,17,118,152
6,13,6,1,Contra Costa County,Alameda County,"16,443","9,550","6,893","25,993"
6,13,6,5,Contra Costa County,Amador County,30,151,-121,181
6,13,6,7,Contra Costa County,Butte County,"1,334",637,697,"1,971"
6,13,6,9,Contra Costa County,Calaveras County,44,28,16,72
6,13,6,15,Contra Costa County,Del Norte County,0,93,-93,93
6,13,6,17,Contra Costa County,El Dorado County,65,479,-414,544
6,13,6,19,Contra Costa County,Fresno County,234,551,-317,785
6,13,6,21,Contra Costa County,Glenn County,0,15,-15,15
6,13,6,23,Contra Costa County,Humboldt County,153,218,-65,371
6,13,6,25,Contra Costa County,Imperial County,0,17,-17,17
6,13,6,29,Contra Costa County,Kern County,80,303,-223,383
6,13,6,31,Contra Costa County,Kings County,1,73,-72,74
6,13,6,33,Contra Costa County,Lake County,146,17,129,163
6,13,6,35,Contra Costa County,Lassen County,53,6,47,59
6,13,6,37,Contra Costa County,Los Angeles County,"1,902","1,867",35,"3,769"
6,13,6,39,Contra Costa County,Madera County,4,102,-98,106
6,13,6,41,Contra Costa County,Marin County,748,667,81,"1,415"
6,13,6,43,Contra Costa County,Mariposa County,0,134,-134,134
6,13,6,45,Contra Costa County,Mendocino County,107,5,102,112
6,13,6,47,Contra Costa County,Merced County,68,105,-37,173
6,13,6,53,Contra Costa County,Monterey County,88,170,-82,258
6,13,6,55,Contra Costa County,Napa County,184,151,33,335
6,13,6,57,Contra Costa County,Nevada County,74,268,-194,342
6,13,6,59,Contra Costa County,Orange County,865,522,343,"1,387"
6,13,6,61,Contra Costa County,Placer County,289,556,-267,845
6,13,6,63,Contra Costa County,Plumas County,45,26,19,71
6,13,6,65,Contra Costa County,Riverside County,291,308,-17,599
6,13,6,67,Contra Costa County,Sacramento County,"1,643","2,427",-784,"4,070"
6,13,6,69,Contra Costa County,San Benito County,0,19,-19,19
6,13,6,71,Contra Costa County,San Bernardino County,175,145,30,320
6,13,6,73,Contra Costa County,San Diego County,"1,164",705,459,"1,869"
6,13,6,75,Contra Costa County,San Francisco County,"4,714","1,821","2,893","6,535"
6,13,6,77,Contra Costa County,San Joaquin County,699,"2,010","-1,311","2,709"
6,13,6,79,Contra Costa County,San Luis Obispo County,162,427,-265,589
6,13,6,81,Contra Costa County,San Mateo County,"3,021","1,477","1,544","4,498"
6,13,6,83,Contra Costa County,Santa Barbara County,353,618,-265,971
6,13,6,85,Contra Costa County,Santa Clara County,"2,993","1,723","1,270","4,716"
6,13,6,87,Contra Costa County,Santa Cruz County,483,548,-65,"1,031"
6,13,6,89,Contra Costa County,Shasta County,62,177,-115,239
6,13,6,93,Contra Costa County,Siskiyou County,43,38,5,81
6,13,6,95,Contra Costa County,Solano County,"2,139","4,077","-1,938","6,216"
6,13,6,97,Contra Costa County,Sonoma County,623,452,171,"1,075"
6,13,6,99,Contra Costa County,Stanislaus County,135,670,-535,805
6,13,6,101,Contra Costa County,Sutter County,11,47,-36,58
6,13,6,103,Contra Costa County,Tehama County,85,6,79,91
6,13,6,105,Contra Costa County,Trinity County,8,0,8,8
6,13,6,107,Contra Costa County,Tulare County,300,83,217,383
6,13,6,109,Contra Costa County,Tuolumne County,82,119,-37,201
6,13,6,111,Contra Costa County,Ventura County,99,80,19,179
6,13,6,113,Contra Costa County,Yolo County,618,611,7,"1,229"
6,13,6,115,Contra Costa County,Yuba County,40,102,-62,142
6,15,6,1,Del Norte County,Alameda County,12,5,7,17
6,15,6,5,Del Norte County,Amador County,19,0,19,19
6,15,6,7,Del Norte County,Butte County,100,30,70,130
6,15,6,9,Del Norte County,Calaveras County,24,0,24,24
6,15,6,11,Del Norte County,Colusa County,163,0,163,163
6,15,6,13,Del Norte County,Contra Costa County,93,0,93,93
6,15,6,19,Del Norte County,Fresno County,28,56,-28,84
6,15,6,21,Del Norte County,Glenn County,0,21,-21,21
6,15,6,23,Del Norte County,Humboldt County,197,139,58,336
6,15,6,25,Del Norte County,Imperial County,25,0,25,25
6,15,6,29,Del Norte County,Kern County,159,182,-23,341
6,15,6,31,Del Norte County,Kings County,63,69,-6,132
6,15,6,35,Del Norte County,Lassen County,66,142,-76,208
6,15,6,37,Del Norte County,Los Angeles County,64,25,39,89
6,15,6,41,Del Norte County,Marin County,54,11,43,65
6,15,6,45,Del Norte County,Mendocino County,9,0,9,9
6,15,6,47,Del Norte County,Merced County,22,0,22,22
6,15,6,49,Del Norte County,Modoc County,0,4,-4,4
6,15,6,53,Del Norte County,Monterey County,3,51,-48,54
6,15,6,57,Del Norte County,Nevada County,4,0,4,4
6,15,6,59,Del Norte County,Orange County,0,13,-13,13
6,15,6,61,Del Norte County,Placer County,0,44,-44,44
6,15,6,65,Del Norte County,Riverside County,17,53,-36,70
6,15,6,67,Del Norte County,Sacramento County,43,238,-195,281
6,15,6,71,Del Norte County,San Bernardino County,18,18,0,36
6,15,6,73,Del Norte County,San Diego County,29,100,-71,129
6,15,6,77,Del Norte County,San Joaquin County,308,25,283,333
6,15,6,79,Del Norte County,San Luis Obispo County,0,45,-45,45
