,County,Chinese (Total),Wu,Mandarin,"Kan, Hsiang",Hakka,Fuchow,Formosan,Chinese,Cantonese
0,"Anchorage, AK",882,,95.0,,,,,740.0,40.0
1,"Maricopa, AZ",20337,,3890.0,,,,450.0,13750.0,2235.0
2,"Navajo, AZ",35,,,,,,,,
3,"Pima, AZ",6334,,955.0,,,,125.0,4625.0,630.0
4,"Alameda, CA",119759,135.0,17450.0,,45.0,,1915.0,69165.0,31050.0
5,"Contra Costa, CA",31465,,5860.0,,,,850.0,17545.0,7200.0
6,"Fresno, CA",5014,,1000.0,,,,250.0,3195.0,565.0
7,"Kern, CA",1744,,300.0,,,,110.0,870.0,460.0
8,"Los Angeles, CA",349899,265.0,89990.0,,120.0,,14035.0,174385.0,71100.0
9,"Monterey, CA",2116,,425.0,,,,60.0,1365.0,265.0
10,"Orange, CA",65820,130.0,16185.0,,,,5535.0,38385.0,5580.0
11,"Placer, CA",2005,,275.0,,,,80.0,1250.0,400.0
12,"Riverside, CA",14781,,2710.0,,,,780.0,8945.0,2325.0
13,"Sacramento, CA",31501,,2320.0,,,,325.0,19540.0,9320.0
14,"San Bernardino, CA",22525,,7190.0,,,,1400.0,11960.0,1975.0
15,"San Diego, CA",41138,,7450.0,,,,1650.0,27495.0,4510.0
16,"San Francisco, CA",143872,160.0,11240.0,,,,805.0,72135.0,59515.0
17,"San Joaquin, CA",7188,,765.0,,,,45.0,4395.0,1985.0
18,"San Mateo, CA",51809,,7720.0,,,,1280.0,26745.0,16040.0
19,"Santa Barbara, CA",3804,,805.0,,,,115.0,2310.0,575.0
20,"Santa Clara, CA",127202,85.0,35160.0,,35.0,90.0,4015.0,72550.0,15265.0
21,"Solano, CA",3155,,525.0,,,,60.0,1825.0,740.0
22,"Sonoma, CA",2537,,465.0,,,,175.0,1365.0,530.0
23,"Stanislaus, CA",2394,,505.0,,,,65.0,1260.0,565.0
24,"Ventura, CA",8010,,1685.0,,,,375.0,5135.0,805.0
25,"Yolo, CA",6219,,1380.0,,,,120.0,3385.0,1335.0
26,"Arapahoe, CO",3285,,280.0,,,,145.0,2440.0,420.0
27,"Denver, CO",2955,,485.0,,,,115.0,2100.0,255.0
28,"El Paso, CO",1816,,185.0,,,,60.0,1340.0,220.0
29,"Fairfield, CT",6967,,675.0,,,,90.0,5690.0,465.0
30,"Hartford, CT",5255,,490.0,,,,95.0,4285.0,390.0
31,"New Haven, CT",7646,40.0,1185.0,,,,215.0,5525.0,670.0
32,"New Castle, DE",5452,,490.0,,,,190.0,4535.0,235.0
33,"District of Columbia, DC",4306,,1030.0,,,,55.0,2665.0,555.0
34,"Broward, FL",8159,,795.0,,,,90.0,5885.0,1390.0
35,"Collier, FL",746,,55.0,,,,,635.0,
36,"Duval, FL",2533,,695.0,,,,,1760.0,65.0
37,"Hillsborough, FL",4473,,890.0,,,,135.0,3160.0,290.0
38,"Lee, FL",936,,190.0,,,,,725.0,
39,"Miami-Dade, FL",8878,,1405.0,,,,105.0,6125.0,1240.0
40,"Orange, FL",6526,,675.0,,,,255.0,4720.0,865.0
41,"Palm Beach, FL",5041,,535.0,,,,70.0,3605.0,830.0
42,"Pinellas, FL",2563,,185.0,,,,30.0,2045.0,300.0
43,"Cobb, GA",4610,,890.0,,,,40.0,3485.0,195.0
44,"DeKalb, GA",6184,,1370.0,,,,195.0,4335.0,245.0
45,"Fulton, GA",9502,,1660.0,,,,240.0,7190.0,405.0
46,"Gwinnett, GA",10656,,2050.0,,,,340.0,7040.0,1225.0
47,"Hawaii, HI",463,,140.0,,,,,250.0,70.0
48,"Honolulu, HI",29933,,4700.0,,,,620.0,16790.0,7805.0
49,"Maui, HI",827,,605.0,,,,,210.0,
50,"Cook, IL",57563,,5970.0,,,,1010.0,39185.0,11355.0
51,"DuPage, IL",12119,,2495.0,,,,650.0,8225.0,740.0
52,"Kane, IL",1449,,80.0,,,,55.0,1115.0,200.0
53,"Lake, IL",6723,,765.0,,,,240.0,5210.0,510.0
54,"Will, IL",3607,,575.0,,,,85.0,2635.0,315.0
55,"Marion, IN",3743,,440.0,,,,60.0,3110.0,125.0
56,"Polk, IA",1802,,85.0,,,,,1595.0,110.0
57,"Johnson, KS",3683,,520.0,,,,135.0,2800.0,225.0
58,"Jefferson, KY",1879,,105.0,,,,40.0,1715.0,
59,"Jefferson, LA",1937,,60.0,,,,115.0,1720.0,40.0
60,"Anne Arundel, MD",1980,,235.0,,,,80.0,1440.0,205.0
61,"Baltimore County, MD",5368,,680.0,,,,205.0,4205.0,270.0
62,"Howard, MD",7185,,655.0,,,,160.0,5775.0,595.0
63,"Montgomery, MD",34986,,5405.0,,,,1295.0,26460.0,1790.0
64,"Prince George s, MD",5175,,770.0,,,,75.0,3830.0,505.0
65,"Baltimore, MD",2858,,640.0,,,,130.0,1910.0,170.0
66,"Bristol, MA",1876,,550.0,,,,,1170.0,155.0
67,"Essex, MA",4527,,545.0,,,,50.0,3320.0,605.0
68,"Hampden, MA",1407,,90.0,,,,,1125.0,185.0
69,"Middlesex, MA",41269,,7060.0,,,45.0,990.0,27100.0,6065.0
70,"Norfolk, MA",25718,20.0,3035.0,,,165.0,400.0,16000.0,6095.0
71,"Plymouth, MA",1197,,190.0,,,,,790.0,215.0
72,"Suffolk, MA",22345,40.0,2715.0,,,,205.0,14645.0,4720.0
73,"Worcester, MA",5571,,880.0,,,,80.0,4165.0,445.0
74,"Macomb, MI",2556,,300.0,,,,,1950.0,300.0
75,"Oakland, MI",10363,25.0,1240.0,,,,265.0,8200.0,635.0
76,"Washtenaw, MI",8632,,2175.0,,,,470.0,5365.0,625.0
77,"Wayne, MI",5204,,425.0,,,,35.0,4480.0,240.0
78,"Dakota, MN",1690,,95.0,,,,,1470.0,120.0
79,"Hennepin, MN",8081,,1140.0,,,,65.0,6060.0,820.0
80,"Ramsey, MN",4317,,505.0,,,,60.0,3520.0,230.0
81,"St. Louis, MO",7435,,1035.0,,,,340.0,5695.0,355.0
82,"Clark, NV",24346,,3690.0,,,,940.0,15495.0,4215.0
83,"Washoe, NV",2565,,560.0,,,,50.0,1730.0,225.0
84,"Hillsborough, NH",2198,,335.0,,,,,1620.0,185.0
85,"Atlantic, NJ",3162,,350.0,,,,,2480.0,325.0
86,"Bergen, NJ",13189,45.0,1525.0,,,,775.0,10225.0,615.0
87,"Burlington, NJ",1843,,255.0,,,,85.0,1400.0,105.0
88,"Camden, NJ",4596,,570.0,,,80.0,205.0,3420.0,315.0
89,"Essex, NJ",7655,,835.0,,,,290.0,6035.0,480.0
90,"Hudson, NJ",10989,50.0,2755.0,,,,235.0,6590.0,1345.0
91,"Mercer, NJ",7523,,1945.0,,,,380.0,4975.0,210.0
92,"Middlesex, NJ",23038,,4285.0,,,65.0,425.0,15725.0,2520.0
93,"Monmouth, NJ",7877,,895.0,,,,480.0,5680.0,820.0
94,"Morris, NJ",11066,,2450.0,,,,340.0,7375.0,885.0
95,"Ocean, NJ",1120,,220.0,,,,,775.0,100.0
96,"Passaic, NJ",2078,,375.0,,,,,1490.0,195.0
97,"Somerset, NJ",9963,,1660.0,,,,355.0,7450.0,490.0
98,"Union, NJ",3987,,585.0,,,,255.0,2770.0,375.0
99,"Bernalillo, NM",2096,,235.0,,,,80.0,1550.0,230.0
100,"San Juan, NM",51,,4.0,,,,,45.0,
101,"Albany, NY",3458,,420.0,,,,,2835.0,200.0
102,"Bronx, NY",6303,60.0,965.0,,,,65.0,4445.0,730.0
103,"Erie, NY",5523,,995.0,,30.0,,165.0,3550.0,780.0
104,"Kings, NY",164625,70.0,21170.0,,70.0,245.0,1905.0,91845.0,49325.0
105,"Monroe, NY",5682,,790.0,,,,400.0,3830.0,645.0
106,"Nassau, NY",19641,65.0,3370.0,,,,395.0,13375.0,2435.0
107,"New York, NY",79167,195.0,9395.0,,130.0,130.0,1305.0,54690.0,13320.0
108,"Onondaga, NY",3327,,440.0,,,,75.0,2475.0,340.0
109,"Orange, NY",1667,,220.0,,,,35.0,1390.0,20.0
110,"Queens, NY",182475,570.0,34860.0,,40.0,55.0,3940.0,120505.0,22505.0
111,"Richmond, NY",10675,30.0,225.0,,,,,8270.0,2130.0
112,"Rockland, NY",2615,,335.0,,,,,2180.0,75.0
113,"Suffolk, NY",11013,40.0,1230.0,,,50.0,325.0,8400.0,970.0
114,"Westchester, NY",8625,,1785.0,,,,315.0,5875.0,635.0
115,"Guilford, NC",2040,,165.0,,,,,1830.0,25.0
116,"Mecklenburg, NC",4810,,1040.0,,,35.0,85.0,3060.0,595.0
117,"Wake, NC",8275,,1010.0,,,,295.0,6630.0,305.0
118,"Cuyahoga, OH",8806,,695.0,,,,200.0,7500.0,410.0
119,"Franklin, OH",9171,,1380.0,,15.0,,215.0,7205.0,355.0
120,"Hamilton, OH",2761,,545.0,,,,210.0,1855.0,145.0
121,"Oklahoma, OK",2802,,315.0,,,,40.0,2340.0,105.0
122,"Multnomah, OR",9730,,1250.0,,,,45.0,6410.0,2005.0
123,"Washington, OR",6488,,1275.0,,,,135.0,4710.0,365.0
124,"Allegheny, PA",8708,,1440.0,,,15.0,95.0,6890.0,265.0
125,"Bucks, PA",2756,,300.0,,,,,2170.0,265.0
126,"Chester, PA",4046,,600.0,,,,65.0,3265.0,105.0
127,"Delaware, PA",4809,,500.0,,,,210.0,3520.0,575.0
128,"Lancaster, PA",1402,,140.0,,,,,1185.0,65.0
129,"Montgomery, PA",8495,,1045.0,,,,170.0,6890.0,390.0
130,"Philadelphia, PA",26342,,3215.0,,,125.0,280.0,18725.0,4005.0
131,"Providence, RI",4358,,635.0,,,,160.0,3115.0,425.0
132,"Davidson, TN",2467,,270.0,,,,60.0,1990.0,135.0
133,"Shelby, TN",3330,,560.0,,,,50.0,2555.0,165.0
134,"Bexar, TX",4350,,655.0,,,,100.0,3260.0,335.0
135,"Collin, TX",19026,,3400.0,,45.0,,725.0,13930.0,920.0
136,"Dallas, TX",11694,20.0,1660.0,,50.0,,410.0,8965.0,590.0
137,"Denton, TX",6147,,1105.0,,,,155.0,4715.0,170.0
138,"Fort Bend, TX",19433,,2565.0,,,,960.0,14190.0,1720.0
139,"Harris, TX",39921,,6055.0,,,,1360.0,28485.0,4010.0
140,"Tarrant, TX",6809,,1360.0,,,,440.0,4440.0,570.0
141,"Travis, TX",10469,,2490.0,,,,270.0,6985.0,725.0
142,"Salt Lake, UT",6594,,935.0,,55.0,,225.0,4555.0,795.0
143,"Arlington, VA",2704,,520.0,,,,55.0,1725.0,405.0
144,"Fairfax, VA",23022,,3740.0,,,65.0,790.0,16565.0,1850.0
145,"Henrico, VA",2431,,130.0,,,,,2085.0,200.0
146,"Loudoun, VA",3674,,285.0,,,,55.0,2850.0,485.0
147,"Prince William, VA",1968,,155.0,,,,110.0,1560.0,145.0
148,"Virginia Beach, VA",1943,,485.0,,,,45.0,1265.0,125.0
149,"Clark, WA",2651,,375.0,,,,250.0,1915.0,115.0
150,"King, WA",60327,,10505.0,,,,1910.0,38030.0,9845.0
151,"Pierce, WA",2341,,215.0,,,,50.0,1665.0,410.0
152,"Snohomish, WA",8279,,1470.0,,,,130.0,5065.0,1615.0
153,"Dane, WI",5417,,675.0,,,,95.0,4430.0,215.0
154,"Milwaukee, WI",2974,,415.0,,,,35.0,2360.0,170.0
