OBJECTID,FID_,STOP_ID,LOCATION,BUS_ZONE_T,LENGTH,POSITION,NUB_PARKIN,PARKINGTYP,LATITUDE,LONGITUDE,ARTERIAL,ZONE_HOURS,STATUS,CURRENTSTO,PILOTSTOPE,CREATIONDA,LABEL_PLAC,DECAL_WORK,SIGN_WORK,PAINT_WORK,WORK_ORDER,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
8,,3197,"7th St&Townsend St NW corner, far-side stop",MuniZone,125,Farside,0,Bus,37.7722,-122.40201,Y,,Rescinded,6,16,Pilot,ExistingPole,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.77219005774664, -122.40198358472426)",32,1,10,34
5,,20048,"Mission St & Steuart St SE corner, mid-block",WhiteZone,145,Mid-block,7,Meter,37.79286,-122.393488,Y,AM PM,Approved,0,,6/21/17,,,,,,"(37.79282429042649, -122.39349522660083)",108,1,10,8
102,,5467,"North Point St & Mason St SE corner, far-side stop",MuniZone,85,Farside,0,Bus,37.80655,-122.41336,Y,,Approved,,,12/4/17,ExistingPole,Landor,,,,"(37.80651966375849, -122.41345506002575)",99,6,3,23
130,,4433,"Divisadero St & Pine St SW corner, far-side",PeakExtensionZone,70-115,Farside,2,Meter,37.786904,-122.44034,Y,AM,Approved,,,11/20/17,,,,,,"(37.786975764327025, -122.44027992928731)",103,4,6,30
127,,20050,"Broadway & Osgood Pl SE corner, far-side stop",WhiteZone,80,Farside,4,Meter,37.798261,-122.402895,Y,AM PM,Approved,,,12/4/17,,,,,,"(37.79825613066689, -122.40290379556318)",106,6,3,23
112,,40019,"Charles J Brenham Pl & Market St NE corner, far-side stop",MuniZone,140,Farside,0,Bus,37.780783,-122.412754,Y,,Approved,,,,,,,,,"(37.780741297825855, -122.41271357212898)",20,5,10,36
100,,3612,"Cyril Magnin St & Market St, NW corner, near-side stop",MuniZone,150,Nearside,0,Bus,37.784149,-122.408388,Y,,Approved,,,10/23/19,,,,,,"(37.7840190452284, -122.40822945841919)",19,5,10,36
125,,20051,"Broadway & Front St NW corner, far-side stop",WhiteZone,80,Farside,4,Meter,37.798825,-122.400155,Y,AM PM,Approved,,,12/11/17,,,,,,"(37.79878414541333, -122.40003028293154)",77,6,3,8
89,,3543,"30th St&Sanchez St NE corner, near-side stop",MuniZone,75,Nearside,0,,37.74202,-122.4286,N,,Rescinded,0,31,Pilot,ExistingPole,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.74201505917384, -122.42858678724089)",84,9,5,22
36,,4715,"Frederick St&Ashbury St NW corner, far-side stop",MuniZone,80,Farside,0,,37.76721,-122.4467,N,,Rescinded,0,21,Pilot,Shelter,Remove,,,03/18/2016 12:00:00 AM +0000,"(37.76720505842064, -122.44668678162293)",25,7,11,3
142,,20038,"South Van NessAve&Mission St SW corner, white zone, 6-10am",WhiteZone,244 to 440 feet south,Mid-block,6,Meter,37.77157,-122.41838,Y,AM,Approved,32,0,6/20/16,,,,,,"(37.77156005999376, -122.41835357935032)",32,1,10,20
131,,6833,"Van Ness Ave&Union St SE corner, near-side stop",PeakExtensionZone,112,Nearside,1,RPP,37.79879,-122.423897,Y,PM,Approved,117,69,Pilot,Landor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.798402403187566, -122.42386573041284)",105,4,6,32
123,,3735,"Bryant St&18th St SE corner, near-side stop",MuniZone,85,Nearside,0,Bus,37.76167,-122.41004,N,,Approved,4,0,Pilot,Shelter,Shelter,,,03/10/2016 12:00:00 AM +0000,"(37.76166006020052, -122.41001358374345)",53,3,9,20
81,,6121,"Portola Dr&Teresita Blvd NE corner, far-side stop",MuniZone,FLAG STOP,Farside,0,,37.74532,-122.4519,Y,,Rescinded,0,0,Pilot,Shelter (old),Remove,,,03/18/2016 12:00:00 AM +0000,"(37.74531506060083, -122.45188678338039)",72,9,8,41
120,,20047,"Gough St&Geary Blvd SW corner, white zone, 6-10am",WhiteZone,135,Farside,6,RPP,37.78488,-122.42469,Y,AM,Approved,89,0,11/21/16,,,,,,"(37.78487005835907, -122.4246635748643)",100,4,11,39
55,,6003,"Polk St&Union St NE corner, far-side stop",MuniZone,70,Farside,0,Bus,37.79904,-122.42232,Y,,Rescinded,0,3,Pilot,NewLandor,Landor,,,03/10/2016 12:00:00 AM +0000,"(37.799035054021516, -122.4223067815723)",107,4,6,32
