Eviction ID,Address,City,State,Near Shuttle,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Longitude,Latitude,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07
M183457,4500 Block Of Mission  Street,San Francisco,CA,FALSE,94112,12/28/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,-122.4342633,37.72549692,94,9,1,28,25,7,6,9,28861,,,1,,4
M183454,4500 Block Of Mission  Street,San Francisco,CA,FALSE,94112,12/26/18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,Outer Mission,-122.4342633,37.72549692,94,9,1,28,25,7,6,9,28861,,,1,,4
M183441,400 Block Of Vidal  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4848523,37.71670342,42,10,8,16,14,8,4,1,64,,,2,,
M183431,500 Block Of Gonzalez  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.478851,37.71609926,42,10,8,16,14,8,4,1,64,,,2,,
M183437,0 Block Of Chumasero  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4728759,37.71331778,42,10,8,16,14,8,4,1,64,,,2,,
M183424,100 Block Of Garces  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4789438,37.71519485,42,10,8,16,14,8,4,1,64,,,2,,
M183445,0 Block Of Chumasero  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4728759,37.71331778,42,10,8,16,14,8,4,1,64,,,2,,
M183444,400 Block Of Vidal  Drive,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4848523,37.71670342,42,10,8,16,14,8,4,1,64,,,2,,
M183429,100 Block Of Font  Boulevard,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,Lakeshore,-122.4736299,37.71554505,42,10,8,16,14,8,4,1,64,,,2,,
M183438,0 Block Of Joseph  Avenue,San Francisco,CA,FALSE,94132,12/24/18,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
