id,GEOID,rent2010,rent2011,rent2012,rent2013,rent2014,rent2015,rent2016,rent2017,rent2018,increaseFrom2010to2018,pctIncreaseFrom2010to2018
6075010100,06075010100,1318,1392,1401,1509,1544,1559,1653,1712,1686,368,0.279210926
6075010200,06075010200,1554,1670,1778,1968,"2,000+",2138,2249,2450,2449,895,0.575933076
6075010300,06075010300,1995,"2,000+","2,000+","2,000+","2,000+",1776,1893,2008,1993,-2,-0.001002506
6075010400,06075010400,1780,1955,1967,"2,000+","2,000+",2231,2229,2296,2142,362,0.203370787
6075010500,06075010500,"2,000+","2,000+","2,000+","2,000+","2,000+",2147,2326,2319,2386,#VALUE!,#VALUE!
6075010600,06075010600,1017,1039,1267,1168,981,935,995,954,1033,16,0.015732547
6075010700,06075010700,532,606,564,575,570,587,628,733,709,177,0.332706767
6075010800,06075010800,1392,1447,1315,1455,1458,1489,1509,1755,1779,387,0.278017241
6075010900,06075010900,1357,1485,1679,1728,1849,1934,2066,2136,2346,989,0.728813559
6075011000,06075011000,979,1166,1295,1542,1511,1606,1598,2015,2042,1063,1.085801839
6075011100,06075011100,1047,1214,1304,1291,1428,1436,1419,1468,1640,593,0.566380134
6075011200,06075011200,1505,1495,1430,1473,1476,1503,1615,1734,1933,428,0.284385382
6075011300,06075011300,527,532,576,654,778,729,907,912,918,391,0.741935484
6075011700,06075011700,790,871,948,951,1028,936,1043,860,1009,219,0.27721519
6075011800,06075011800,626,659,659,667,624,598,622,632,684,58,0.092651757
6075011901,06075011901,1062,1143,1357,1318,1509,1547,1627,1695,2001,939,0.884180791
6075011902,06075011902,1181,1302,1345,1334,1409,1448,1498,1609,1735,554,0.469093988
6075012000,06075012000,1010,1025,1015,1113,1116,1164,1198,1205,1335,325,0.321782178
6075012100,06075012100,1087,1151,1212,1380,1367,1390,1448,1630,1673,586,0.539098436
6075012201,06075012201,980,1045,1118,1190,1279,1291,1342,1397,1531,551,0.562244898
6075012202,06075012202,831,795,799,903,900,1002,988,1024,1058,227,0.273164862
6075012301,06075012301,587,577,540,700,599,651,704,708,736,149,0.253833049
6075012302,06075012302,974,1024,1151,1074,1245,1273,1426,1510,1518,544,0.558521561
6075012401,06075012401,735,787,736,760,798,862,832,891,966,231,0.314285714
6075012402,06075012402,848,879,876,945,1058,1043,1019,1048,1258,410,0.483490566
6075012501,06075012501,558,573,549,539,539,555,592,633,599,41,0.073476703
6075012502,06075012502,457,506,425,393,444,412,350,464,512,55,0.120350109
6075012601,06075012601,1789,1747,1762,1774,1871,1813,1930,2161,2581,792,0.442705422
6075012602,06075012602,1825,1844,1958,"2,000+","2,000+",2094,2096,2271,2380,555,0.304109589
6075012700,06075012700,1724,1625,1728,1755,1939,1988,2193,2354,2297,573,0.332366589
6075012800,06075012800,1664,1638,1724,1828,1957,2018,2278,2322,2211,547,0.328725962
6075012901,06075012901,1715,1832,1832,1814,1903,1796,1793,1955,2224,509,0.296793003
6075012902,06075012902,1576,1615,1648,1745,1708,1730,1908,2025,2348,772,0.489847716
6075013000,06075013000,1802,1890,1920,1890,1921,2060,2102,2081,2169,367,0.203662597
6075013101,06075013101,1711,1852,1934,"2,000+","2,000+",2180,2291,2416,2516,805,0.470485096
6075013102,06075013102,1978,1828,1897,"2,000+","2,000+",2077,2377,2535,2558,580,0.29322548
6075013200,06075013200,1984,"2,000+","2,000+","2,000+","2,000+",2332,2335,2446,2718,734,0.369959677
6075013300,06075013300,1788,1936,1962,"2,000+","2,000+",1987,1912,1979,1812,24,0.013422819
