"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"1400000US06075010100","Census Tract 101, San Francisco County, California","1559","173"
"1400000US06075010200","Census Tract 102, San Francisco County, California","2138","188"
"1400000US06075010300","Census Tract 103, San Francisco County, California","1776","337"
"1400000US06075010400","Census Tract 104, San Francisco County, California","2231","206"
"1400000US06075010500","Census Tract 105, San Francisco County, California","2147","237"
"1400000US06075010600","Census Tract 106, San Francisco County, California","935","155"
"1400000US06075010700","Census Tract 107, San Francisco County, California","587","51"
"1400000US06075010800","Census Tract 108, San Francisco County, California","1489","174"
"1400000US06075010900","Census Tract 109, San Francisco County, California","1934","166"
"1400000US06075011000","Census Tract 110, San Francisco County, California","1606","170"
"1400000US06075011100","Census Tract 111, San Francisco County, California","1436","154"
"1400000US06075011200","Census Tract 112, San Francisco County, California","1503","159"
"1400000US06075011300","Census Tract 113, San Francisco County, California","729","182"
"1400000US06075011700","Census Tract 117, San Francisco County, California","936","232"
"1400000US06075011800","Census Tract 118, San Francisco County, California","598","37"
"1400000US06075011901","Census Tract 119.01, San Francisco County, California","1547","241"
"1400000US06075011902","Census Tract 119.02, San Francisco County, California","1448","80"
"1400000US06075012000","Census Tract 120, San Francisco County, California","1164","52"
"1400000US06075012100","Census Tract 121, San Francisco County, California","1390","93"
"1400000US06075012201","Census Tract 122.01, San Francisco County, California","1291","82"
"1400000US06075012202","Census Tract 122.02, San Francisco County, California","1002","116"
"1400000US06075012301","Census Tract 123.01, San Francisco County, California","651","251"
"1400000US06075012302","Census Tract 123.02, San Francisco County, California","1273","103"
"1400000US06075012401","Census Tract 124.01, San Francisco County, California","862","88"
"1400000US06075012402","Census Tract 124.02, San Francisco County, California","1043","142"
"1400000US06075012501","Census Tract 125.01, San Francisco County, California","555","110"
"1400000US06075012502","Census Tract 125.02, San Francisco County, California","412","68"
"1400000US06075012601","Census Tract 126.01, San Francisco County, California","1813","87"
"1400000US06075012602","Census Tract 126.02, San Francisco County, California","2094","177"
"1400000US06075012700","Census Tract 127, San Francisco County, California","1988","199"
"1400000US06075012800","Census Tract 128, San Francisco County, California","2018","273"
"1400000US06075012901","Census Tract 129.01, San Francisco County, California","1796","150"
"1400000US06075012902","Census Tract 129.02, San Francisco County, California","1730","92"
"1400000US06075013000","Census Tract 130, San Francisco County, California","2060","261"
"1400000US06075013101","Census Tract 131.01, San Francisco County, California","2180","240"
"1400000US06075013102","Census Tract 131.02, San Francisco County, California","2077","198"
"1400000US06075013200","Census Tract 132, San Francisco County, California","2332","218"
"1400000US06075013300","Census Tract 133, San Francisco County, California","1987","279"
"1400000US06075013400","Census Tract 134, San Francisco County, California","2069","256"
"1400000US06075013500","Census Tract 135, San Francisco County, California","1668","136"
"1400000US06075015100","Census Tract 151, San Francisco County, California","1869","156"
"1400000US06075015200","Census Tract 152, San Francisco County, California","1582","138"
"1400000US06075015300","Census Tract 153, San Francisco County, California","2001","192"
"1400000US06075015400","Census Tract 154, San Francisco County, California","1913","192"
"1400000US06075015500","Census Tract 155, San Francisco County, California","1500","450"
"1400000US06075015600","Census Tract 156, San Francisco County, California","1586","139"
"1400000US06075015700","Census Tract 157, San Francisco County, California","1850","123"
"1400000US06075015801","Census Tract 158.01, San Francisco County, California","1053","198"
"1400000US06075015802","Census Tract 158.02, San Francisco County, California","1366","210"
"1400000US06075015900","Census Tract 159, San Francisco County, California","1617","188"
"1400000US06075016000","Census Tract 160, San Francisco County, California","1093","249"
"1400000US06075016100","Census Tract 161, San Francisco County, California","769","191"
"1400000US06075016200","Census Tract 162, San Francisco County, California","1415","81"
"1400000US06075016300","Census Tract 163, San Francisco County, California","1594","167"
"1400000US06075016400","Census Tract 164, San Francisco County, California","1754","109"
"1400000US06075016500","Census Tract 165, San Francisco County, California","1527","183"
"1400000US06075016600","Census Tract 166, San Francisco County, California","1852","195"
"1400000US06075016700","Census Tract 167, San Francisco County, California","1819","97"
"1400000US06075016801","Census Tract 168.01, San Francisco County, California","1673","195"
"1400000US06075016802","Census Tract 168.02, San Francisco County, California","1325","182"
"1400000US06075016900","Census Tract 169, San Francisco County, California","1619","219"
"1400000US06075017000","Census Tract 170, San Francisco County, California","2082","252"
"1400000US06075017101","Census Tract 171.01, San Francisco County, California","1895","89"
"1400000US06075017102","Census Tract 171.02, San Francisco County, California","2123","143"
"1400000US06075017601","Census Tract 176.01, San Francisco County, California","821","87"
"1400000US06075017700","Census Tract 177, San Francisco County, California","1551","206"
"1400000US06075017801","Census Tract 178.01, San Francisco County, California","291","8"
"1400000US06075017802","Census Tract 178.02, San Francisco County, California","1222","243"
"1400000US06075017902","Census Tract 179.02, San Francisco County, California","1732","173"
"1400000US06075018000","Census Tract 180, San Francisco County, California","2386","258"
"1400000US06075020100","Census Tract 201, San Francisco County, California","838","100"
"1400000US06075020200","Census Tract 202, San Francisco County, California","1341","166"
"1400000US06075020300","Census Tract 203, San Francisco County, California","1639","161"
"1400000US06075020401","Census Tract 204.01, San Francisco County, California","2096","168"
"1400000US06075020402","Census Tract 204.02, San Francisco County, California","1800","115"
"1400000US06075020500","Census Tract 205, San Francisco County, California","1775","112"
"1400000US06075020600","Census Tract 206, San Francisco County, California","1828","219"
"1400000US06075020700","Census Tract 207, San Francisco County, California","1878","304"
"1400000US06075020800","Census Tract 208, San Francisco County, California","1189","132"
"1400000US06075020900","Census Tract 209, San Francisco County, California","1193","78"
"1400000US06075021000","Census Tract 210, San Francisco County, California","1642","147"
"1400000US06075021100","Census Tract 211, San Francisco County, California","2246","209"
"1400000US06075021200","Census Tract 212, San Francisco County, California","2125","290"
"1400000US06075021300","Census Tract 213, San Francisco County, California","1788","162"
"1400000US06075021400","Census Tract 214, San Francisco County, California","2524","387"
"1400000US06075021500","Census Tract 215, San Francisco County, California","1661","241"
"1400000US06075021600","Census Tract 216, San Francisco County, California","2202","236"
"1400000US06075021700","Census Tract 217, San Francisco County, California","1311","255"
"1400000US06075021800","Census Tract 218, San Francisco County, California","2018","288"
"1400000US06075022600","Census Tract 226, San Francisco County, California","2902","166"
"1400000US06075022702","Census Tract 227.02, San Francisco County, California","2216","178"
"1400000US06075022704","Census Tract 227.04, San Francisco County, California","2266","334"
"1400000US06075022801","Census Tract 228.01, San Francisco County, California","1809","196"
"1400000US06075022802","Census Tract 228.02, San Francisco County, California","1229","122"
"1400000US06075022803","Census Tract 228.03, San Francisco County, California","1576","158"
"1400000US06075022901","Census Tract 229.01, San Francisco County, California","1605","162"
"1400000US06075022902","Census Tract 229.02, San Francisco County, California","1653","355"
"1400000US06075022903","Census Tract 229.03, San Francisco County, California","1629","204"
"1400000US06075023001","Census Tract 230.01, San Francisco County, California","1156","181"
"1400000US06075023003","Census Tract 230.03, San Francisco County, California","1684","469"
"1400000US06075023102","Census Tract 231.02, San Francisco County, California","561","210"
"1400000US06075023103","Census Tract 231.03, San Francisco County, California","456","169"
"1400000US06075023200","Census Tract 232, San Francisco County, California","1120","573"
"1400000US06075023300","Census Tract 233, San Francisco County, California","849","140"
"1400000US06075023400","Census Tract 234, San Francisco County, California","669","240"
"1400000US06075025100","Census Tract 251, San Francisco County, California","1883","424"
"1400000US06075025200","Census Tract 252, San Francisco County, California","2017","366"
"1400000US06075025300","Census Tract 253, San Francisco County, California","1523","238"
"1400000US06075025401","Census Tract 254.01, San Francisco County, California","1420","194"
"1400000US06075025402","Census Tract 254.02, San Francisco County, California","2321","417"
"1400000US06075025403","Census Tract 254.03, San Francisco County, California","1235","200"
"1400000US06075025500","Census Tract 255, San Francisco County, California","2004","413"
"1400000US06075025600","Census Tract 256, San Francisco County, California","1164","93"
"1400000US06075025701","Census Tract 257.01, San Francisco County, California","2006","933"
"1400000US06075025702","Census Tract 257.02, San Francisco County, California","1481","300"
"1400000US06075025800","Census Tract 258, San Francisco County, California","1185","149"
"1400000US06075025900","Census Tract 259, San Francisco County, California","1829","233"
"1400000US06075026001","Census Tract 260.01, San Francisco County, California","1409","115"
"1400000US06075026002","Census Tract 260.02, San Francisco County, California","1766","164"
"1400000US06075026003","Census Tract 260.03, San Francisco County, California","1683","184"
"1400000US06075026004","Census Tract 260.04, San Francisco County, California","1606","282"
"1400000US06075026100","Census Tract 261, San Francisco County, California","1409","73"
"1400000US06075026200","Census Tract 262, San Francisco County, California","1234","238"
"1400000US06075026301","Census Tract 263.01, San Francisco County, California","1359","372"
"1400000US06075026302","Census Tract 263.02, San Francisco County, California","1506","188"
"1400000US06075026303","Census Tract 263.03, San Francisco County, California","1703","244"
"1400000US06075026401","Census Tract 264.01, San Francisco County, California","1026","226"
"1400000US06075026402","Census Tract 264.02, San Francisco County, California","1688","148"
"1400000US06075026403","Census Tract 264.03, San Francisco County, California","1223","293"
"1400000US06075026404","Census Tract 264.04, San Francisco County, California","1068","173"
"1400000US06075030101","Census Tract 301.01, San Francisco County, California","1684","183"
"1400000US06075030102","Census Tract 301.02, San Francisco County, California","1966","229"
"1400000US06075030201","Census Tract 302.01, San Francisco County, California","1698","52"
"1400000US06075030202","Census Tract 302.02, San Francisco County, California","1727","211"
"1400000US06075030301","Census Tract 303.01, San Francisco County, California","1835","161"
"1400000US06075030302","Census Tract 303.02, San Francisco County, California","2064","963"
"1400000US06075030400","Census Tract 304, San Francisco County, California","1541","265"
"1400000US06075030500","Census Tract 305, San Francisco County, California","null","null"
"1400000US06075030600","Census Tract 306, San Francisco County, California","3,500+","***"
"1400000US06075030700","Census Tract 307, San Francisco County, California","2621","401"
"1400000US06075030800","Census Tract 308, San Francisco County, California","1838","632"
"1400000US06075030900","Census Tract 309, San Francisco County, California","2011","551"
"1400000US06075031000","Census Tract 310, San Francisco County, California","2580","301"
"1400000US06075031100","Census Tract 311, San Francisco County, California","2023","241"
"1400000US06075031201","Census Tract 312.01, San Francisco County, California","1632","200"
"1400000US06075031202","Census Tract 312.02, San Francisco County, California","1722","127"
"1400000US06075031301","Census Tract 313.01, San Francisco County, California","1450","1426"
"1400000US06075031302","Census Tract 313.02, San Francisco County, California","1911","190"
"1400000US06075031400","Census Tract 314, San Francisco County, California","1135","286"
"1400000US06075032601","Census Tract 326.01, San Francisco County, California","1726","101"
"1400000US06075032602","Census Tract 326.02, San Francisco County, California","1869","154"
"1400000US06075032700","Census Tract 327, San Francisco County, California","1730","235"
"1400000US06075032801","Census Tract 328.01, San Francisco County, California","1757","430"
"1400000US06075032802","Census Tract 328.02, San Francisco County, California","1977","312"
"1400000US06075032901","Census Tract 329.01, San Francisco County, California","1905","869"
"1400000US06075032902","Census Tract 329.02, San Francisco County, California","1416","528"
"1400000US06075033000","Census Tract 330, San Francisco County, California","2002","358"
"1400000US06075033100","Census Tract 331, San Francisco County, California","3,500+","***"
"1400000US06075033201","Census Tract 332.01, San Francisco County, California","1711","92"
"1400000US06075033203","Census Tract 332.03, San Francisco County, California","2023","111"
"1400000US06075033204","Census Tract 332.04, San Francisco County, California","1861","162"
"1400000US06075035100","Census Tract 351, San Francisco County, California","1811","235"
"1400000US06075035201","Census Tract 352.01, San Francisco County, California","1619","193"
"1400000US06075035202","Census Tract 352.02, San Francisco County, California","1570","132"
"1400000US06075035300","Census Tract 353, San Francisco County, California","1551","367"
"1400000US06075035400","Census Tract 354, San Francisco County, California","1430","129"
"1400000US06075040100","Census Tract 401, San Francisco County, California","1585","215"
"1400000US06075040200","Census Tract 402, San Francisco County, California","1468","129"
"1400000US06075042601","Census Tract 426.01, San Francisco County, California","1532","140"
"1400000US06075042602","Census Tract 426.02, San Francisco County, California","1667","145"
"1400000US06075042700","Census Tract 427, San Francisco County, California","1457","115"
"1400000US06075042800","Census Tract 428, San Francisco County, California","2196","233"
"1400000US06075045100","Census Tract 451, San Francisco County, California","1692","162"
"1400000US06075045200","Census Tract 452, San Francisco County, California","1661","113"
"1400000US06075047600","Census Tract 476, San Francisco County, California","1799","226"
"1400000US06075047701","Census Tract 477.01, San Francisco County, California","1458","177"
"1400000US06075047702","Census Tract 477.02, San Francisco County, California","1625","228"
"1400000US06075047801","Census Tract 478.01, San Francisco County, California","1725","86"
"1400000US06075047802","Census Tract 478.02, San Francisco County, California","1586","174"
"1400000US06075047901","Census Tract 479.01, San Francisco County, California","1337","88"
"1400000US06075047902","Census Tract 479.02, San Francisco County, California","1693","103"
"1400000US06075060100","Census Tract 601, San Francisco County, California","2963","205"
"1400000US06075060400","Census Tract 604, San Francisco County, California","1603","115"
"1400000US06075060502","Census Tract 605.02, San Francisco County, California","349","78"
"1400000US06075060700","Census Tract 607, San Francisco County, California","2774","327"
"1400000US06075061000","Census Tract 610, San Francisco County, California","2542","373"
"1400000US06075061100","Census Tract 611, San Francisco County, California","506","58"
"1400000US06075061200","Census Tract 612, San Francisco County, California","1245","192"
