College,RMP-ID
Princeton University,780
Harvard University,399
Columbia University,278
Massachusetts Institute of Technology,580
Yale University,1222
Stanford University,953
University of Chicago,1085
University of Pennsylvania,1275
Northwestern University,709
Duke University,1350
Johns Hopkins University,464
California Institute of Technology,148
Dartmouth College,1339
Brown University,137
University of Notre Dame,1576
Vanderbilt University,4002
Cornell University,298
Rice University,799
Washington University in St. Louis,1147
University of California--Los Angeles,1075
