candidate,twitter_handle,status,announcement_date,announcement_tweet,hashtags,followers
Cory Booker,CoryBooker,running,2/1/19,https://twitter.com/corybooker/status/1091308916879884288,"Cory2020,Booker2020",4202843
Pete Buttigieg,PeteButtigieg,running,1/23/19,https://twitter.com/petebuttigieg/status/1088016937718874112,"Pete2020,Buttigieg2020",160332
Julian Castro,JulianCastro,running,12/12/18,https://twitter.com/juliancastro/status/1072878783273807874,"Julian2020,Castro2020",183193
John Delaney,JohnDelaney,running,7/28/17,https://twitter.com/JohnDelaney/status/890982917748510720,Delaney2020,15494
Tulsi Gabbard,TulsiGabbard,running,1/11/19,https://twitter.com/tulsigabbard/status/1083903626748272640,Tulsi2020,297696
Kirsten Gillibrand,SenGillibrand,running,1/15/19,https://twitter.com/sengillibrand/status/1085318564968521728,"Kirsten2020,Gillibrand2020",1373342
Kamala Harris,KamalaHarris,running,1/21/19,https://twitter.com/kamalaharris/status/1087342097009643520,"Kamala2020,Harris2020",2436154
John Hickenlooper,Hickenlooper,running,3/4/19,https://twitter.com/Hickenlooper/status/1102533816189480961,Hickenlooper2020,135155
Jay Inslee,JayInslee,running,3/1/19,https://twitter.com/jayinslee/status/1101547833964978176,"Inslee2020,OurClimateMoment",38297
Amy Klobuchar,amyklobuchar,running,2/10/19,https://twitter.com/amyklobuchar/status/1094694571831894016,"AmyForAmerica,Amy2020,Klobuchar2020",648879
Bernie Sanders,BernieSanders,running,2/19/19,https://twitter.com/berniesanders/status/1097828878310096901,"Bernie2020,Sanders2020,NotMeUs",9121984
Elizabeth Warren,ewarren,running,2/9/19,https://twitter.com/ewarren/status/1094221040656494592,"Warren2020,Elizabeth2020,WinWithWarren,ElizabethWarren2020",2274695
Marianne Williamson,marwilliamson,running,1/28/19,https://twitter.com/marwilliamson/status/1089890607764463616,Marianne2020,2603142
Andrew Yang,AndrewYangVFA,running,2/8/18,https://twitter.com/andrewyangvfa/status/961700253522112513,"Yang2020,YangGang,HumanityFirst",115835
