code,county,net-exodus,flow-to-San-Bernardino-County,flow-to-San-Diego-County,flow-to-Shasta-County,flow-to-San-Luis-Obispo-County,flow-to-Mariposa-County,flow-to-Contra-Costa-County,flow-to-Santa-Clara-County,flow-to-Trinity-County,flow-to-San-Benito-County,flow-to-San-Francisco-County,flow-to-Alameda-County,flow-to-Tuolumne-County,flow-to-Kings-County,flow-to-Fresno-County,flow-to-Kern-County,flow-to-Lassen-County,flow-to-Los-Angeles-County,flow-to-Mendocino-County,flow-to-Stanislaus-County,flow-to-Monterey-County,flow-to-Sacramento-County,flow-to-Marin-County,flow-to-Alpine-County,flow-to-Plumas-County,flow-to-Napa-County,flow-to-Inyo-County,flow-to-Santa-Barbara-County,flow-to-Placer-County,flow-to-Siskiyou-County,flow-to-Yuba-County,flow-to-Sierra-County,flow-to-San-Joaquin-County,flow-to-San-Mateo-County,flow-to-Orange-County,flow-to-Madera-County,flow-to-Mono-County,flow-to-Nevada-County,flow-to-El-Dorado-County,flow-to-Riverside-County,flow-to-Modoc-County,flow-to-Glenn-County,flow-to-Lake-County,flow-to-Calaveras-County,flow-to-Yolo-County,flow-to-Solano-County,flow-to-Tehama-County,flow-to-Sonoma-County,flow-to-Imperial-County,flow-to-Sutter-County,flow-to-Butte-County,flow-to-Tulare-County,flow-to-Colusa-County,flow-to-Del-Norte-County,flow-to-Humboldt-County,flow-to-Merced-County,flow-to-Ventura-County,flow-to-Amador-County,flow-to-Santa-Cruz-County
37,Los Angeles County,70206,19140,530,46,709,65,35,1463,37,41,120,1333,156,-304,741,7180,169,,68,-151,417,1910,723,,10,123,132,2496,-29,48,-16,-12,519,335,11350,853,-33,59,355,11489,24,22,66,-11,1649,149,-10,371,36,-14,339,545,,39,763,888,2293,45,905
85,Santa Clara County,18432,-53,-297,486,287,,1270,,-2,611,1917,2732,76,-48,259,169,21,-1463,38,1249,-291,1840,488,-25,53,206,20,423,585,-1,29,,1570,715,457,115,,21,658,316,10,-32,-12,-15,716,592,34,660,-14,-160,189,249,-27,12,-6,880,-119,76,968
73,San Diego County,16368,2519,,164,319,14,459,297,14,-54,1408,735,148,742,142,73,-24,-530,-29,-240,197,163,-9,-20,22,-139,54,688,-228,72,95,,669,389,237,123,-31,41,-92,5706,4,-13,63,-45,410,206,33,265,-140,53,442,4,,-71,357,175,127,28,376
75,San Francisco County,13113,-62,-1408,-42,-12,-28,2893,-1917,5,-65,,5454,48,-25,-44,-44,1,-120,-25,-109,178,684,1517,2,,206,,216,87,14,12,26,886,4068,-136,9,,75,-146,169,,-11,-10,30,-21,403,,489,,-10,-37,-7,-53,,29,110,-129,-23,-14
1,Alameda County,6802,-189,-735,167,45,29,6893,-2732,6,-44,-5454,,100,137,308,-10,160,-1333,-46,874,11,1423,-170,,-8,-131,-5,180,340,60,4,,4413,-1795,-342,236,60,136,171,173,,3,-1,174,108,1510,39,208,-58,40,565,-171,8,7,140,673,-9,53,581
81,San Mateo County,4087,-184,-389,72,-288,7,1544,-715,,12,-4068,1795,27,81,41,138,13,-335,9,412,56,131,366,5,41,136,-16,1095,512,29,25,,511,,297,4,,174,52,249,,4,0,-4,207,684,-41,552,-8,94,219,69,,4,122,-23,-116,-6,491
25,Imperial County,1767,287,140,43,69,69,-17,14,,-48,,58,21,152,-191,843,15,-36,,-25,-156,-9,,,1,,-23,78,-57,1,,,-104,8,166,,,,-1,372,5,,-3,,49,156,,-1,,,,-86,,25,6,-61,-22,11,18
55,Napa County,1667,103,139,-68,60,,33,-206,7,,-206,131,,3,-11,9,44,-123,67,-217,-365,-227,-205,,,,,18,200,4,,,88,-136,392,-54,,,108,-70,,,176,21,-35,1779,5,348,,-8,-63,-49,,,,-52,40,,-13
39,Madera County,908,2115,-123,19,36,-13,-98,-115,,,-9,-236,-68,-153,488,-234,,-853,8,-102,-68,110,593,,,54,,22,-13,-11,-17,,-126,-4,-157,,,6,,-75,,,,,22,54,-37,0,,-9,9,-123,9,,-10,203,-67,-23,-96
101,Sutter County,886,132,-53,-13,-74,-5,-36,160,,,10,-40,-4,5,8,8,56,14,30,-215,10,284,,,,8,17,39,-66,,-184,,45,-94,3,9,,-62,-22,-49,,-81,30,,434,0,59,91,,,-57,191,78,73,91,2,30,,24
