GEOID,TREE-PCT,median-income
6037224700,7.462,6406
6037206300,2.488,9609
6037207400,9.808,10795
6037222700,11.578,11528
6037242100,9.286,11893
6037242600,6.621,12426
6037221820,11.848,12755
6037221900,10.839,13531
6037571600,16.221,14273
6037221810,6.811,14813
6037980015,12.666,14975
6037206200,2.48,15678
6037207102,6.27,15810
6037265304,9.702,15822
6037207301,2.053,16120
6037265305,7.36,16168
6037224010,2.836,16184
6037206010,9.277,16685
6037208904,3.348,17341
6037209102,4.74,17542
6037572800,8.887,17569
6037209403,3.147,18125
6037207103,2.059,18281
6037210010,5.827,18289
6037209104,6.777,18444
6037207101,8.669,18618
6037228900,7.611,19019
6037209103,3.596,19357
6037265303,11.924,19429
6037224420,15.535,19504
6037207502,9.574,19698
6037240010,5.046,19826
6037237720,3.835,19856
6037224320,6.448,19971
6037206050,4.311,20822
6037208720,5.441,20965
6037221401,16.919,21008
6037190801,7.625,21119
6037236100,6.083,21153
6037237102,4.141,21178
6037575803,3.08,21270
6037190520,5.204,21439
6037231220,10.416,21472
6037120107,8.511,21612
6037231800,4.079,21684
6037296210,8.298,21779
6037232110,4.311,21786
6037296220,6.972,22120
6037231100,2.632,22255
6037572500,21.208,22368
6037226420,6.39,22385
6037190402,4.913,22415
6037208401,5.535,22437
6037600303,5.853,22473
6037208903,3.814,22609
6037235202,6.328,22629
6037239201,2.99,22730
6037208801,16.526,22878
6037530902,9.09,23007
6037238310,3.06,23056
6037199120,9.368,23285
6037540201,6.294,23300
6037408800,6.294,23362
6037191110,4.023,23479
6037206032,6.814,23533
6037222600,8.154,23542
6037229200,6.709,23656
6037236202,8.227,23703
6037209810,5.874,23714
6037221710,10.412,23803
6037243100,7.091,23810
6037212102,1.786,23929
6037600602,2.75,23995
6037600100,4.326,24029
6037221110,3.462,24087
6037237600,3.783,24157
6037224410,9.896,24406
6037535606,8.346,24458
6037234901,3.559,24550
6037533104,2.836,24652
6037209300,4.929,24655
6037228800,4.433,24670
6037218120,3.977,24737
6037212420,2.388,24888
6037240200,3.698,25000
6037297110,3.674,25161
6037228600,4.366,25169
6037238320,2.481,25222
6037212203,3.823,25240
6037204200,3.625,25302
6037530602,9.885,25357
6037481714,4.611,25388
6037203100,7.829,25521
6037208502,8.935,25565
6037199900,3.125,25577
6037213320,3.357,25641
6037208302,7.96,25672
6037190202,4.357,25705
6037209520,4.264,25743
6037240300,4.595,25765
6037241120,3.989,25768
6037191710,11.639,25774
6037212900,8.113,25800
6037205120,1.995,25873
6037700102,6.71,25913
6037211320,3.913,25934
6037234902,4.138,25960
6037532605,2.25,26082
6037226002,1.209,26197
6037239320,4.794,26250
6037232500,6.107,26328
6037241110,4.57,26384
6037213202,3.383,26625
6037231710,7.172,26663
6037190510,6.642,26696
6037532800,4.871,26706
6037221500,9.645,26738
6037127712,18.462,26768
6037221304,6.088,26835
6037209402,0.742,26837
6037533103,5.198,26898
6037211410,4.804,26901
6037232200,7.86,26912
6037236203,6.461,26958
6037302201,5.922,26964
6037302505,6.135,26970
6037600304,5.38,26977
6037203300,8.904,27000
6037224600,2.869,27048
6037127604,14.27,27115
6037209820,5.71,27117
6037212304,1.771,27132
6037601100,4.211,27165
6037231900,5.333,27176
6037228410,7.3,27219
6059099510,4.705,27223
6037204420,4.97,27242
6037701100,16.247,27292
6037236204,7.224,27338
6037573002,3.096,27368
6037535603,5.584,27396
6037209510,2.476,27428
6037191201,7.21,27441
6037502802,3.556,27500
6037226410,5.09,27500
6037204410,5.363,27550
6037294830,2.971,27589
6037542502,7.649,27589
6037242700,6.845,27602
6037241300,7.773,27660
6037222200,7.229,27685
6037575300,4.601,27690
6037191203,3.28,27734
6037122122,4.346,27734
6037190201,3.366,27829
6037190700,4.726,27836
6037231210,6.93,27900
6037117408,9.157,27930
6037231720,3.9,27985
6037219901,8.036,28053
6037532700,3.498,28063
6037228210,5.371,28088
6037239701,4.916,28093
6037402304,6.69,28141
6037600201,4.251,28145
6037209401,2.329,28207
6037239601,5.041,28232
6037222500,5.963,28288
6037535400,3.306,28295
6037104701,6.346,28355
6037228710,6.719,28365
6037232800,3.462,28547
6037533806,3.862,28560
6037212306,4.079,28631
6037213201,3.072,28667
6037600202,6.022,28735
6037203710,3.939,28750
6037120106,8.647,28897
6037237402,7.041,28924
6037221302,7.356,28963
6037602801,5.829,28967
6037573300,4.45,28974
6037294701,2.054,28977
6037226700,5.207,28989
6037232120,5.743,29075
6037576302,4.262,29135
6037229420,4.337,29148
6037199700,3.763,29175
6037191120,4.696,29201
6037576401,3.397,29255
6037232300,6.343,29291
6037402702,3.436,29309
6037601001,5.925,29333
6037530400,6.516,29338
6037212202,3.545,29385
6037226001,2.4,29423
6037232700,3.103,29500
6037228420,4.957,29518
6037190301,8.361,29548
6037224200,4.452,29556
6059062614,14.214,29590
6037231300,6.683,29602
6037240402,5.858,29615
6037183810,8.371,29712
6037117407,3.575,29717
6037575402,2.579,29750
6037199201,5.849,29809
6037127910,10.147,29819
6037229300,6.045,29857
6037212303,3.792,29894
6037575102,5.586,29899
6037221120,4.614,29919
6037575801,6.734,29932
6037186401,5.177,29944
6037224310,5.342,29978
6037228310,4.342,30028
6037190802,4.696,30087
6059062626,16.836,30134
6037199000,4.907,30154
6037192700,8.955,30156
6037228220,5.39,30167
6037239502,5.644,30167
6037132300,16.525,30172
6071001600,2.234,30173
6059099509,7.498,30188
6037231600,6.358,30189
6037571703,8.327,30208
6037117405,3.486,30231
6037534201,4.543,30257
6037576402,5.409,30268
6037541400,11.005,30268
6037191204,6.239,30272
6037433403,7.746,30278
6037192610,8.824,30307
6037204700,9.933,30370
6037570603,3.338,30496
6037541603,4.953,30518
6037239702,5.308,30549
6037221220,7.905,30556
6037120103,2.664,30560
6037191810,2.619,30582
6037212305,2.602,30625
6037219300,5.725,30625
6037240800,5.072,30643
6037237500,4.494,30645
6037203720,4.102,30675
6037203600,5.601,30677
6037127220,12.737,30701
6037204300,6.71,30729
6037432801,3.82,30742
6037533105,6.349,30833
6037221303,7.41,30875
6037123420,11.893,30899
6037294820,2.91,30917
6037302003,5.992,30918
6037531301,5.604,30946
6037540202,6.365,31006
6071001400,7.963,31026
6037573004,7.55,31029
6037128303,5.362,31037
6037531604,3.103,31075
6037575902,2.537,31089
6037228320,7.327,31105
6037229410,3.959,31121
6037240700,8.858,31167
6037980014,0.858,31250
6037128210,6.778,31250
6037207302,2.814,31269
6037123520,18.116,31295
6037212204,4,31310
6037433304,6.97,31333
6037128302,8.123,31386
6037532606,5.451,31432
6037291120,3.448,31466
6037224020,2.042,31467
6037576501,4.636,31490
6037530500,4.317,31496
6037531503,5.266,31507
6037237201,7.89,31531
6037205110,16.23,31534
6037239801,5.285,31538
6037211202,4.017,31576
6037228720,6.391,31577
6037237101,5.015,31583
6037199400,10.18,31591
6037222001,7.785,31625
6037123203,6.107,31633
6037302503,10.121,31637
6037433901,8.091,31641
6037191410,5.213,31673
6037980008,1.002,31681
6037211310,3.304,31706
6037237710,3.439,31740
6037239310,3.714,31791
6037127803,13.652,31824
6037218400,6.984,31835
6037211420,6.782,31839
6037531202,3.887,31875
6037310701,6.894,31898
6037120105,8.589,31917
6037240500,4.983,31940
6037237401,7.485,31953
6037541001,1.415,31960
6037122410,3.208,31997
6037534803,8.706,31997
6037576403,4.741,32010
6037234700,6.164,32019
6037540502,10.021,32058
6037576801,10.074,32073
6037601501,4.503,32076
6037213310,2.504,32078
6037239501,6.458,32102
6037532603,2.962,32109
6037238200,5.347,32128
6037191301,5.146,32167
6059099802,6.546,32167
6037532400,0.323,32188
6037191720,4.751,32188
6037575802,5.119,32207
6037123204,7.213,32207
6037240401,5.206,32222
6037462201,16.81,32228
6037227020,5.012,32232
