state,state-name,total-reports,total-quantity,total-cost,population,violent_crime_rate_per_100000_inhabitants,cost-grenade-launchers,quantity-grenade-launchers,cost-night-vision,quantity-night-vision,cost-assault-rifles,quantity-assault-rifles,cost-armored-vehicles,quantity-armored-vehicles,cost-aircraft,quantity-aircraft,cost-body-armor,quantity-body-armor,cost-other,quantity-other
AK,Alaska,235,563,566068.9900000001,737498,730.2,0,0,228645.0,24,77642.0,165,0,0,0,0,1122.3,5,258659.69000000003,369
AL,Alabama,7052,32640,78278484.77,4852347,472.4,7690.14,105,3543550.53,517,780307.0,2043,6860576.0,19,5528661.0,41,92850.52000000002,215,61464849.58000077,29700
AR,Arkansas,2458,5937,36324750.06000019,2978048,521.3,2880.0,4,314008.56,49,417199.0,1351,13875068.0,24,7124695.0,15,448.2,12,14590451.30000008,4482
AZ,Arizona,4784,52210,73874478.49000001,6829676,410.2,725.93,1,7910389.319999999,1196,347988.0,976,10671244.18,26,23499615.0,16,282095.19000000006,616,31162420.870000053,49379
CA,California,18199,187078,159989004.6399992,38918045,426.3,8810.779999999999,113,13771935.629999999,2725,3227197.0,8121,32640735.43,93,24658901.0,45,180249.24000000002,674,85501175.55999999,175307
CO,Colorado,4750,25080,24610331.96000014,5450623,321.0,6286.58,14,988489.2900000002,176,789075.0,2051,6953840.0,22,0,0,14506.44,73,15858134.650000062,22744
CT,Connecticut,1666,4889,15559569.539999994,3587122,218.5,0,0,153501.84,35,467179.0,985,8324490.0,18,1291864.0,5,2404.52,4,5320130.180000005,3842
DE,Delaware,1080,5967,8849708.960000005,941252,499.0,0,0,457827.0,45,65474.0,231,412000.0,1,0,0,1451.54,17,7912956.419999993,5673
FL,Florida,8836,18647,288782870.57999647,20209042,461.9,21600.0,30,1790060.0,57,2732776.499999951,7346,31170260.0,65,221405189.0,143,3730.1600000000003,11,31659254.920000058,10995
GA,Georgia,9932,82086,76950316.81000042,10178447,378.3,101.6,20,2551971.060000001,489,1290732.0,3839,10096196.96,32,2751800.0,14,96220.39,180,60163294.80000071,77512
HI,Hawaii,10,16,1418404.02,1422052,293.4,0,0,937.4,4,0,0,1236000.0,3,0,0,0,0,181466.62,9
IA,Iowa,1315,1809,11413489.440000009,3120960,286.1,4320.0,6,136062.54,33,324332.0,1024,9284210.0,16,0,0,6785.28,30,1657779.619999999,700
ID,Idaho,1099,4249,10251594.600000024,1651059,215.6,1440.0,2,109450.51000000001,18,138216.0,451,3836902.0,10,800865.0,1,24151.609999999997,19,5340569.479999997,3748
IL,Illinois,8645,24033,69544694.08000025,12858913,383.8,15.24,3,1764307.8399999999,405,1733230.0,4552,12023250.96,24,4301330.0,13,107743.73999999999,333,49614816.30000056,18703
IN,Indiana,5531,16474,41777041.4900006,6608422,387.5,4320.0,6,2246612.2100000004,382,988964.0,2752,8763513.0,26,1753314.0,10,22718.659999999996,98,27997599.62000056,13200
KS,Kansas,1709,2022,7167196.749999995,2909011,389.9,0,0,428965.22,159,312468.0,1195,4342840.0,18,0,0,4053.3,15,2078870.2299999953,635
KY,Kentucky,5491,26128,48859665.930000134,4425976,218.7,52.6,10,1067504.92,214,862294.0,2629,2265124.96,5,10972979.0,23,36834.78999999999,177,33654875.66000019,23070
LA,Louisiana,2831,11462,27148843.64000008,4664628,539.7,1440.0,2,385112.12,72,672057.0,2140,12695000.0,19,2529056.0,12,0,0,10866178.519999983,9217
MA,Massachusetts,1625,4728,12014428.680000035,6794228,390.9,1440.0,2,260616.34,67,319687.0,897,2135140.0,5,0,0,2232.68,6,9295312.659999993,3751
MD,Maryland,2985,7722,10361526.430000024,5985562,457.2,720.0,1,1344525.69,139,747097.0,1625,2463630.0,12,467687.0,4,5319.42,6,5332547.320000008,5935
ME,Maine,1295,5669,13986842.300000021,1328262,130.1,0,0,1453991.4400000002,271,135085.0,455,2202363.4,7,706290.0,3,0,0,9489112.460000012,4933
MI,Michigan,7571,34612,44876098.8400005,9931715,415.5,6399.36,32,3592543.249999998,635,1203053.0,2935,12630120.0,33,824139.0,5,102357.68000000001,100,26517486.550000526,30872
MN,Minnesota,3592,5921,9623026.060000028,5482032,242.6,8677.5,258,562519.52,117,1161473.0,2778,4677400.0,27,664741.0,4,0,0,2548215.0399999917,2737
MO,Missouri,3330,18515,29878672.200000063,6071732,497.4,0,0,1090476.0,192,409808.0,1033,14872429.0,30,703376.0,5,400.0,2,12802183.200000018,17253
MS,Mississippi,1149,2154,6312722.850000001,2988471,275.8,1440.0,2,0,0,283685.0,870,754070.0,2,1238171.0,9,0,0,4035356.8499999996,1271
MT,Montana,915,1202,5233030.419999994,1030475,349.6,0,0,340414.48999999993,38,144414.0,602,1584140.0,5,553740.0,6,7038.0599999999995,15,2603283.8699999973,536
NC,North Carolina,3238,10362,17976939.20000025,10031646,347.0,7920.0,11,630897.38,153,647172.0,1725,3666380.6,23,2067802.0,16,1673.44,14,10955093.780000102,8420
ND,North Dakota,1000,2049,3848636.520000002,754066,239.4,1440.0,2,20405.0,6,197785.0,762,1347000.0,2,102907.0,1,0,0,2179099.520000002,1276
NE,Nebraska,963,993,8356146.559999999,1891277,274.9,1440.0,2,4814359.0,606,68538.0,237,2793002.0,5,553740.0,6,0,0,125067.55999999997,137
NH,New Hampshire,709,2046,5594756.270000002,1336350,199.3,720.0,1,233102.84999999995,42,139393.0,396,0,0,0,0,5411.9,11,5216128.520000002,1596
NJ,New Jersey,6474,53120,71034974.41999999,8867949,255.4,1761.3799999999997,278,1428925.0999999999,276,620682.0,1303,963333.0,5,276870.0,3,184335.76,358,67559067.17999996,50897
NM,New Mexico,1233,7807,36689398.52,2089291,656.1,0,0,1487221.0999999996,255,2622.0,19,14127977.0,24,1107284.0,3,8373.8,61,19955920.61999998,7445
NV,Nevada,953,8605,17916579.020000003,2866939,695.9,1471.56,8,1422188.2000000002,282,117168.0,285,3536070.0,6,3137272.0,7,6056.52,43,9696352.740000006,7974
