date,total-quantity,total-cost,population,violent-crime-rate,total-quantity-norm-population,total-quantity-norm-violent-crime-rate,total-cost-norm-population,total-cost-norm-violent-crime-rate
01/1996,5,559977.0,265228572,636.6,1.8851664292035627e-08,0.007854225573358466,0.002111299683052247,879.6371347785108
02/1996,5,478340.0,265228572,636.6,1.8851664292035627e-08,0.007854225573358466,0.0018035010194904643,751.3980521520577
03/1996,43,1661719.0,265228572,636.6,1.621243129115064e-07,0.06754633993088281,0.00626523374713943,2610.3031731071314
04/1996,9,297183.0,265228572,636.6,3.393299572566413e-08,0.01413760603204524,0.0011204788298600048,466.82846371347784
05/1996,19,624503.62,265228572,636.6,7.163632430973538e-08,0.029846057178762174,0.002354586518680197,980.9984605717876
06/1996,8,260690.0,265228572,636.6,3.0162662867257e-08,0.012566760917373547,0.0009828880728581534,409.50361294376376
07/1996,4,279403.62,265228572,636.6,1.50813314336285e-08,0.006283380458686773,0.0010534446492438982,438.8998114985862
08/1996,6,1067108.3,265228572,636.6,2.262199715044275e-08,0.00942507068803016,0.004023353486968968,1676.2618598806157
09/1996,25,620974.0,265228572,636.6,9.425832146017813e-08,0.039271127866792335,0.002341278676416506,975.4539742381401
10/1996,5,352570.0,265228572,636.6,1.8851664292035627e-08,0.007854225573358466,0.0013293062558886002,553.8328620797989
11/1996,3,195210.0,265228572,636.6,1.1310998575221375e-08,0.00471253534401508,0.0007360066772896549,306.64467483506127
01/1997,23,742089.94,267783607,611.0,8.589024644813303e-08,0.03764320785597381,0.0027712299057947934,1214.5498199672668
02/1997,7,646030.0,267783607,611.0,2.6140509788562224e-08,0.011456628477905073,0.002412507648386408,1057.3322422258593
03/1997,4,260280.0,267783607,611.0,1.49374341648927e-08,0.006546644844517185,0.000971978841109568,425.99018003273324
04/1997,4,341940.0,267783607,611.0,1.49374341648927e-08,0.006546644844517185,0.0012769265595858525,559.6399345335516
05/1997,5,25145.0,267783607,611.0,1.8671792706115874e-08,0.008183306055646482,9.390044551905674e-05,41.15384615384615
06/1997,2,67278.0,267783607,611.0,7.46871708244635e-09,0.0032733224222585926,0.00025124017393641276,110.11129296235679
07/1997,2,130140.0,267783607,611.0,7.46871708244635e-09,0.0032733224222585926,0.000485989420554784,212.99509001636662
08/1997,37,402180.0,267783607,611.0,1.3817126602525748e-07,0.060556464811783964,0.0015018843181091365,658.2324058919803
09/1997,4,132865.0,267783607,611.0,1.49374341648927e-08,0.006546644844517185,0.0004961655475796172,217.45499181669393
10/1997,4,2860402.0,267783607,611.0,1.49374341648927e-08,0.006546644844517185,0.010681766640031853,4681.509001636661
12/1997,3,195210.0,267783607,611.0,1.1203075623669525e-08,0.004909983633387889,0.0007289841308321759,319.49263502454994
03/1998,2,8210.0,270248003,567.6,7.400609728094827e-09,0.003523608174770965,3.0379502933829265e-05,14.464411557434813
04/1998,8,30305.0,270248003,567.6,2.960243891237931e-08,0.01409443269908386,0.00011213773890495686,53.39147286821705
05/1998,111,808771.0,270248003,567.6,4.107338399092629e-07,0.19556025369978858,0.0029926992652004906,1424.8960535588442
06/1998,56,294530.0,270248003,567.6,2.0721707238665515e-07,0.09866102889358704,0.0010898507916078848,518.9041578576462
07/1998,74,374673.0,270248003,567.6,2.738225599395086e-07,0.1303735024665257,0.0013864043243272367,660.1004228329809
08/1998,15,1283949.0,270248003,567.6,5.55045729607112e-08,0.02642706131078224,0.004751002729888812,2262.0665961945033
09/1998,5,1184353.0,270248003,567.6,1.8501524320237068e-08,0.008809020436927413,0.004382467166649146,2086.5979563072588
10/1998,14,2044145.0,270248003,567.6,5.180426809666379e-08,0.02466525722339676,0.0075639596863182005,3601.3830162085974
11/1998,2,96590.0,270248003,567.6,7.400609728094827e-09,0.003523608174770965,0.0003574124468183397,170.17265680056377
12/1998,6,330551.0,270248003,567.6,2.2201829184284483e-08,0.010570824524312896,0.0012231394731157365,582.3661028893587
01/1999,7,455490.0,272690813,523.0,2.567009839088345e-08,0.01338432122370937,0.001670353302294786,870.9177820267687
02/1999,10,534173.0,272690813,523.0,3.66715691298335e-08,0.019120458891013385,0.0019588962096790553,1021.3632887189292
03/1999,7,434458.0,272690813,523.0,2.567009839088345e-08,0.01338432122370937,0.0015932256581009203,830.7036328871893
05/1999,4,10857.0,272690813,523.0,1.46686276519334e-08,0.0076481835564053535,3.981432260426023e-05,20.75908221797323
06/1999,5,782687.0,272690813,523.0,1.833578456491675e-08,0.009560229445506692,0.0028702360427521993,1496.5334608030594
07/1999,2,131270.0,272690813,523.0,7.3343138259667e-09,0.0038240917782026767,0.0004813876879673244,250.9942638623327
08/1999,5,582001.0,272690813,523.0,1.833578456491675e-08,0.009560229445506692,0.002134288990513223,1112.812619502868
09/1999,6,223521.0,272690813,523.0,2.20029414779001e-08,0.011472275334608031,0.0008196865803469514,427.38240917782025
10/1999,6,161892.0,272690813,523.0,2.20029414779001e-08,0.011472275334608031,0.0005936833669567005,309.54493307839385
11/1999,2,46583.0,272690813,523.0,7.3343138259667e-09,0.0038240917782026767,0.0001708271704775034,89.06883365200765
12/1999,5,199626.0,272690813,523.0,1.833578456491675e-08,0.009560229445506692,0.0007320598659112142,381.6940726577438
01/2000,13,923889.0,281421906,506.5,4.6193987471607844e-08,0.02566633761105627,0.0032829320685504844,1824.065153010859
02/2000,6,248681.0,281421906,506.5,2.132030190997285e-08,0.011846001974333662,0.000883658999878993,490.97926949654493
03/2000,6,201483.0,281421906,506.5,2.132030190997285e-08,0.011846001974333662,0.0007159463982878433,397.79466929911155
04/2000,27,716353.0,281421906,506.5,9.594135859487783e-08,0.05330700888450148,0.0025454770390191304,1414.319842053307
05/2000,2,130140.0,281421906,506.5,7.106767303324283e-09,0.003948667324777887,0.00046243734842731115,256.93978282329715
06/2000,4,126967.0,281421906,506.5,1.4213534606648566e-08,0.007897334649555774,0.00045116246210058714,250.67522211253703
07/2000,22,942365.0,281421906,506.5,7.817444033656712e-08,0.04343534057255676,0.0033485843848985943,1860.542941757157
08/2000,21,1073984.0,281421906,506.5,7.462105668490497e-08,0.04146100691016782,0.0038162771877467134,2120.4027640671275
09/2000,10,874148.0,281421906,506.5,3.5533836516621415e-08,0.019743336623889437,0.0031061832123331578,1725.8598223099705
10/2000,18,1124543.0,281421906,506.5,6.396090572991856e-08,0.035538005923000986,0.0039959327117911,2220.22309970385
11/2000,9,657250.0,281421906,506.5,3.198045286495928e-08,0.017769002961500493,0.0023354614050549428,1297.6307996051332
12/2000,1,43376.0,281421906,506.5,3.5533836516621416e-09,0.0019743336623889436,0.00015413156927449707,85.63869693978282
01/2001,3,279207.0,285317559,504.5,1.0514599979456574e-08,0.005946481665014866,0.000978583305488044,553.4331020812685
02/2001,19,524601.62,285317559,504.5,6.65924665365583e-08,0.03766105054509415,0.001838658727624962,1039.8446382556988
03/2001,5,404273.0,285317559,504.5,1.752433329909429e-08,0.009910802775024777,0.0014169229591649492,801.3339940535184
04/2001,8,71443.72,285317559,504.5,2.8038933278550867e-08,0.015857284440039643,0.0002504007122814338,141.61292368681865
05/2001,5,301341.0,285317559,504.5,1.752433329909429e-08,0.009910802775024777,0.0010561600241364745,597.3062438057483
06/2001,4,400610.0,285317559,504.5,1.4019466639275433e-08,0.007928642220019821,0.0014040846325900328,794.0733399405352
07/2001,16,749096.0,285317559,504.5,5.607786655710173e-08,0.031714568880079286,0.0026254815954036676,1484.828543111992
08/2001,3,58497.0,285317559,504.5,1.0514599979456574e-08,0.005946481665014866,0.00020502418499942376,115.95044598612488
09/2001,6,68242.0,285317559,504.5,2.1029199958913148e-08,0.011892963330029732,0.0002391791105993585,135.26660059464817
10/2001,7,191700.0,285317559,504.5,2.4534066618732006e-08,0.013875123885034688,0.0006718829386872751,379.9801783944499
11/2001,1,41061.0,285317559,504.5,3.5048666598188583e-09,0.0019821605550049554,0.00014391332991882212,81.38949454905847
12/2001,13,85098.72,285317559,504.5,4.556326657764516e-08,0.02576808721506442,0.00029825966652126027,168.6793260654113
01/2002,3,289919.0,287973924,494.4,1.041760989442919e-08,0.006067961165048544,0.0010067543476610056,586.4057443365696
02/2002,1,41061.0,287973924,494.4,3.4725366314763972e-09,0.002022653721682848,0.00014258582662505235,83.05218446601943
03/2002,2,84437.0,287973924,494.4,6.9450732629527944e-09,0.004045307443365696,0.00029321057555197253,170.78681229773463
04/2002,1,65070.0,287973924,494.4,3.4725366314763972e-09,0.002022653721682848,0.00022595795861016915,131.6140776699029
05/2002,3,119198.0,287973924,494.4,1.041760989442919e-08,0.006067961165048544,0.0004139194213987236,241.09627831715213
06/2002,2,67420.0,287973924,494.4,6.9450732629527944e-09,0.004045307443365696,0.0002341184196941387,136.3673139158576
07/2002,9,398101.0,287973924,494.4,3.125282968328757e-08,0.018203883495145633,0.0013824203055273852,805.2204692556635
08/2002,38,597133.5800000001,287973924,494.4,1.3195639199610308e-07,0.07686084142394822,0.002073568230434642,1207.7944579288028
09/2002,6,8579.0,287973924,494.4,2.083521978885838e-08,0.012135922330097087,2.979089176143601e-05,17.352346278317153
10/2002,15,499808.0,287973924,494.4,5.2088049472145954e-08,0.03033980582524272,0.001735601588704955,1010.9385113268609
11/2002,1,65070.0,287973924,494.4,3.4725366314763972e-09,0.002022653721682848,0.00022595795861016915,131.6140776699029
12/2002,64,191426.0,287973924,494.4,2.2224234441448942e-07,0.12944983818770228,0.0006647337972170008,387.18851132686086
01/2003,6,244075.0,290788976,475.8,2.0633519477024465e-08,0.012610340479192938,0.0008393543777257911,512.9781420765028
02/2003,3,134440.0,290788976,475.8,1.0316759738512232e-08,0.006305170239596469,0.0004623283930818615,282.5556956704498
03/2003,8,241743.0,290788976,475.8,2.7511359302699287e-08,0.016813787305590584,0.0008313348164890543,508.07692307692304
04/2003,3,6716.0,290788976,475.8,1.0316759738512232e-08,0.006305170239596469,2.309578613461605e-05,14.115174443043296
05/2003,2,7789.0,290788976,475.8,6.877839825674822e-09,0.004203446826397646,2.6785747201090594e-05,16.370323665405632
06/2003,4,82667.0,290788976,475.8,1.3755679651349643e-08,0.008406893652795292,0.00028428519243453023,173.7431693989071
07/2003,2,231258.0,290788976,475.8,6.877839825674822e-09,0.004203446826397646,0.000795277741202954,486.0403530895334
08/2003,5,1292712.01,290788976,475.8,1.7194599564187054e-08,0.010508617065994114,0.004445533072753074,2716.923097940311
09/2003,15,3740973.69,290788976,475.8,5.1583798692561166e-08,0.031525851197982346,0.012864908915941848,7862.4919924337955
10/2003,35,1238259.0,290788976,475.8,1.203621969493094e-07,0.0735603194619588,0.00425827353235014,2602.4779319041613
11/2003,11,2209126.0,290788976,475.8,3.782811904121152e-08,0.023118957545187054,0.007597007391366858,4642.971836906263
12/2003,3,222430.0,290788976,475.8,1.0316759738512232e-08,0.006305170239596469,0.0007649189562124253,467.4863387978142
01/2004,3,546450.0,293656842,463.2,1.0216005796316504e-08,0.006476683937823835,0.0018608454557990514,1179.7279792746115
02/2004,4,197560.0,293656842,463.2,1.362134106175534e-08,0.008635578583765112,0.0006727580350400962,426.5112262521589
03/2004,43,2075991.0,293656842,463.2,1.464294164138699e-07,0.09283246977547496,0.007069445363033632,4481.84585492228
04/2004,14,374051.0,293656842,463.2,4.7674693716143685e-08,0.030224525043177894,0.0012737690613726616,807.5367012089811
05/2004,10,1108508.0,293656842,463.2,3.4053352654388347e-08,0.02158894645941278,0.003774841384421072,2393.1519861830743
06/2004,2,283107.0,293656842,463.2,6.81067053087767e-09,0.004317789291882556,0.0009640742509925923,611.1981865284974
07/2004,12,12007.0,293656842,463.2,4.0864023185266016e-08,0.02590673575129534,4.088786053212409e-05,25.921848013816927
08/2004,26,478753.0,293656842,463.2,8.853871690140971e-08,0.05613126079447323,0.0016303144743346385,1033.5772884283247
09/2004,2,489688.0,293656842,463.2,6.81067053087767e-09,0.004317789291882556,0.0016675518154622123,1057.1848013816925
10/2004,23,276313.6,293656842,463.2,7.832271110509321e-08,0.049654576856649396,0.00094094044640036,596.5319516407599
11/2004,3,5525.58,293656842,463.2,1.0216005796316504e-08,0.006476683937823835,1.881645243600352e-05,11.929145077720207
12/2004,2,142592.0,293656842,463.2,6.81067053087767e-09,0.004317789291882556,0.00048557356616945436,307.84110535405875
01/2005,3,253603.24,296507061,469.0,1.011780289441404e-08,0.006396588486140725,0.0008553025319015927,540.731855010661
02/2005,4,19178.0,296507061,469.0,1.3490403859218719e-08,0.008528784648187633,6.467974130302414e-05,40.89125799573561
